,Frame#,Time,AlejandroMask:HeadTopX7,AlejandroMask:HeadTopY7,AlejandroMask:HeadTopZ7,AlejandroMask:HeadFrontX5,AlejandroMask:HeadFrontY5,AlejandroMask:HeadFrontZ5,HeadFront5MAG,AlejandroMask:LP1X46,LHandMaxPosY,LHandPosXMean,LHandPosYMean,LHandPosZMean,RHandPosXMean,RHandPosYMean,RHandPosZMean,BothHandMaxPosY,LHandVelocity,RHandVelocity,HeadMaxPosY,HeadVelocity,HeadPosXMean,HeadPosYMean,DistanceChestToLeftArm,DistanceChestToRightArm,DistanceChestToArmsMax,ShoulderVelocity
0,4,0.033333,0.189247,1.71619,0.333464,0.144281,1.73121,0.479243,0.000158760826402,0.327746,0.785578,0.7319914,0.7235757,0.6108187,-0.0742884,0.7319914,0.5200716,0.796105,0.000189496701818,0.000257794491795,1.73121,0.000168964493312,0.1328752,1.1329944,0.825878132252,0.5819131763,0.825878132252,0.000180778870447
1,5,0.041667,0.189262,1.7162,0.333632,0.144267,1.73117,0.479396,0.000157600761419,0.327589,0.78549,0.732024,0.7234863,0.610743,-0.074508,0.732024,0.5200911,0.796142,0.000195407267009,0.000285511821121,1.73117,0.000159568167251,0.1328684,1.132991,0.826008680862,0.581894584573,0.826008680862,0.0002078412856
2,6,0.05,0.189271,1.71621,0.333791,0.144244,1.73114,0.479549,0.000155441307251,0.327467,0.785375,0.7320591,0.723385,0.61064,-0.0746819,0.7320591,0.5201352,0.796175,0.000350326990111,0.000239211203751,1.73114,0.000155479902238,0.1328594,1.1329912,0.826134537854,0.58186285779,0.826134537854,0.000172481883107
3,7,0.058333,0.189278,1.71622,0.333946,0.144213,1.73112,0.4797,0.000168677206522,0.327518,0.785242,0.7320988,0.7232746,0.6104957,-0.074854,0.7320988,0.520201,0.796214,0.000223626921456,0.000186842179392,1.73112,0.000168677206522,0.132848,1.1329898,0.826256462639,0.581817565777,0.826256462639,0.000172884354411
4,8,0.066667,0.189271,1.71622,0.334102,0.144179,1.7311,0.479864,0.000160115583252,0.327439,0.785084,0.7321349,0.7231599,0.6103728,-0.0749753,0.7321349,0.5202652,0.796237,0.000270131449483,0.000291523583952,1.7311,0.000160115583252,0.1328348,1.132984,0.826380430204,0.581770876172,0.826380430204,0.000166252819525
5,9,0.075,0.189282,1.71623,0.334261,0.14414,1.73108,0.480018,0.00016281891782,0.327489,0.784952,0.7321852,0.7230305,0.6102053,-0.0751064,0.7321852,0.520362,0.796286,0.000308215833467,0.000207776322039,1.73108,0.000167011975618,0.1328206,1.1329804,0.826516104536,0.581702845784,0.826516104536,0.000154470061824
6,10,0.083333,0.18928,1.71623,0.334428,0.144109,1.73105,0.480175,0.000156412915068,0.327637,0.784761,0.7322231,0.7228885,0.6100092,-0.0752069,0.7322231,0.5204461,0.796329,0.000369801297997,0.00014812157169,1.73105,0.000161607549329,0.132806,1.132972,0.826650408155,0.581648167977,0.826650408155,0.000154741720295
7,11,0.091667,0.189294,1.71623,0.334589,0.144078,1.73103,0.480327,0.000146714007511,0.327845,0.784568,0.7322666,0.7227442,0.6097993,-0.0752875,0.7322666,0.5205357,0.796379,0.000374141684392,0.000125179870586,1.73103,0.000159050306507,0.1327936,1.132968,0.826783798173,0.581583770084,0.826783798173,0.000156156972307
8,12,0.1,0.189298,1.71623,0.334748,0.144052,1.73101,0.48047,0.000158407701833,0.328096,0.784386,0.7323038,0.7225926,0.6095916,-0.0753349,0.7323038,0.520618,0.796423,0.000389719129631,0.000152279348567,1.73101,0.000178101094887,0.1327828,1.1329618,0.826907094328,0.581519088905,0.826907094328,0.000143725432683
9,13,0.108333,0.189304,1.71623,0.334926,0.144019,1.73098,0.480622,0.000174642491966,0.328151,0.784205,0.7323554,0.7224377,0.6093789,-0.0753792,0.7323554,0.520719,0.796488,0.000461361029997,0.000122662137598,1.73098,0.000174642491966,0.1327692,1.132957,0.827051884245,0.581447535939,0.827051884245,0.000118680242669
